HM_Mn,Inblow_P,Inblow_C,Inblow_Mn,EOB_Mn,TSC_TEMP.,TSOP_TEMP.,TSOP_O_PPM ,O2_2nd_Blow,EOB_P
0.523,0.134061,0.19798,0.069199,0.037957,1623.9,1696.8,859.0,935.0,0.035065
0.627,0.037767,0.396847,0.111618,0.073469,1573.6,1660.8,595.0,1349.0,0.015308
0.33,0.012942,0.270622,0.067797,0.032327,1541.1,1668.1,1320.0,2722.0,0.021229
0.507,0.017997,0.471707,0.169553,0.069234,1538.0,1642.4,609.0,2184.0,0.012279
0.639,0.077975,0.266868,0.260543,0.13181700000000002,1618.3,1668.2,750.0,1068.0,0.025511
0.35700000000000004,0.013722,0.390554,0.07344400000000001,0.037477,1531.3,1671.2,1092.0,2982.0,0.013986000000000002
0.821,0.052164,0.120741,0.110283,0.074403,1602.1,1643.3,597.0,762.0,0.019728
1.261,0.064662,0.445153,0.096607,0.064762,1607.3,1693.1,726.0,1635.0,0.016085
0.474,0.027591,0.15088,0.076779,0.076779,1636.6,1679.3,828.0,1261.0,0.027591
0.747,0.11313,1.014989,0.074915,0.058629,1538.8,1659.9,483.0,2218.0,0.021013
0.518,0.049972,0.154666,0.11372,0.055673,1588.6,1656.9,579.0,1321.0,0.007769
0.489,0.055363,0.58049,0.088799,0.043998,1574.4,1668.8,853.0,2222.0,0.011832
0.562,0.023389,0.252356,0.053823,0.035661,1602.3,1637.0,466.0,938.0,0.01066
1.116,0.061167,0.670624,0.077945,0.061387,1637.8,1650.3,511.0,1631.0,0.037096
0.172,0.009069,0.052532,0.062981,0.114629,1576.1,1632.8,385.0,1514.0,0.014198
0.481,0.06103400000000001,0.28995,0.140924,0.08945,1585.2,1657.6,677.0,1342.0,0.025642
0.504,0.020643,0.21986,0.229609,0.101395,1654.7,1677.4,758.0,1633.0,0.012925
0.35100000000000003,0.059438,0.500464,0.074422,0.042715,1534.7,1627.4,815.0,1848.0,0.017509
0.5479999999999999,0.14400000000000002,0.318877,0.230749,0.081957,1602.5,1639.2,549.0,1382.0,0.015257
0.412,0.108897,0.5988220000000001,0.082499,0.050177,1554.1,1659.0,813.0,1784.0,0.023718
0.402,0.041862,0.14443,0.102263,0.057647,1633.3,1637.5,405.0,636.0,0.012513
